서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,기타
46,29,17,20,9,16,7,1,84,7,4,11,8,7,16,17,4,53
100,43,12,28,8,9,15,1,157,6,15,23,18,6,18,29,12,51
260,137,51,88,47,35,33,3,185,10,19,39,38,15,40,60,25,47
1129,314,197,347,170,171,112,10,1144,89,128,171,129,83,204,208,84,377
123,28,37,47,21,14,16,1,129,7,21,11,18,8,15,25,16,33
4667,951,632,1176,488,420,293,40,3644,145,314,467,332,236,398,600,318,782
72,30,14,27,15,15,9,0,85,2,7,13,16,8,7,24,8,50
286,98,68,84,38,44,38,2,325,25,39,69,37,30,58,74,26,139
46861,16777,9171,10025,6050,6981,4227,638,44120,2546,4959,7249,5276,3156,8093,11199,3500,10208
6949,4637,2863,2289,1309,1415,1422,162,9187,963,1272,1900,1335,1008,2689,3882,982,4449
39337,9749,7457,11762,4797,5121,4026,377,41888,2667,3773,3556,4381,3226,4899,7233,3112,6501
268,77,47,132,43,30,28,3,289,8,33,40,44,32,51,60,18,97
3036,1031,600,870,400,528,461,45,4175,224,374,495,395,306,588,723,360,1041
35,20,8,10,8,4,3,2,49,6,1,6,5,5,5,12,4,14
2615,1052,534,899,389,418,268,42,3212,187,253,453,451,215,484,733,211,705
694,416,192,255,114,130,95,30,759,29,66,117,66,81,177,183,59,237
11667,3462,2856,3664,1550,1537,1500,161,14679,1066,1625,1959,1374,1025,2521,2982,1357,3157
111,64,31,13,20,10,9,10,87,10,12,23,13,5,9,21,1,74
129,34,23,15,8,15,13,4,87,4,6,21,8,2,11,16,5,33
45,28,9,12,9,6,6,3,36,3,9,7,8,5,6,21,4,37
867,53,39,131,19,78,19,2,404,18,27,31,14,6,26,19,16,35
2932,1212,558,668,444,403,279,39,2837,163,295,375,441,232,489,632,172,938
101,6,4,12,6,2,0,1,52,3,3,4,3,2,5,5,0,10
51561,20372,10547,13175,6753,7065,4873,562,53349,2898,4723,8047,7556,3867,10081,13886,3116,16482
15367,2971,1892,2997,1516,1328,827,189,12546,452,795,1203,814,537,1294,2121,717,2070
1024,312,124,225,121,72,94,11,859,47,63,123,107,46,127,218,32,676
3498,1064,643,1228,266,336,174,29,3269,100,196,294,205,87,307,432,192,311
2149,1137,943,483,401,560,752,28,2445,93,309,425,681,226,832,709,291,888
17109,8134,2756,3741,1616,1465,1159,357,14317,580,916,1463,1007,668,1720,2952,1356,3195
1449,963,334,641,75,117,78,8,1255,133,238,196,71,83,261,611,39,739
3875,2365,289,957,249,213,226,22,2971,118,232,249,387,131,344,735,114,977
58,223,11,85,8,14,47,4,1199,33,20,94,71,1318,212,294,28,546
74270,32944,31682,30972,22137,14524,14105,1234,164462,11998,16314,18460,14310,14355,30116,37850,15702,45277
509,209,96,80,29,96,75,6,795,18,26,41,38,40,73,229,11,70
19,6,2,4,8,1,2,1,17,1,2,4,1,0,0,5,2,5
180,60,28,64,7,17,33,7,193,9,15,24,61,31,42,75,17,135
4120,662,615,1281,330,555,222,131,4027,139,390,929,369,222,588,906,229,823
44407,22296,10712,14952,4809,5268,4784,495,77652,2720,4819,8171,7414,3724,7006,13853,4745,19171
341925,133966,86094,103459,54287,49033,40330,4661,466970,27527,42313,56763,47502,35034,73812,103634,36885,120433
